"/fr/a/objektiv-canon-efs-55-250mm-f74-5.6-1192019532/","Objektiv Canon EFS 55 - 250mm - f74-5.6","180.00","2021-12-01"
"/fr/a/canon-ef-1.4-50-mm-filter-1192075310/","CANON EF 1.4 / 50 mm + FILTER","220.00","2021-12-01"
"/fr/a/canon-ef-50mm-f1.4-usm-ultrasonic-1191955404/","Canon EF 50mm f1.4 USM Ultrasonic","299.00","2021-12-01"
"/fr/a/canon-ef-70-200mm-f-4l-is-ii-usm-1192085278/","Canon EF 70-200mm f/4L IS II USM","850.00","2021-12-01"
"/fr/a/neuwertig-ef-70-200mm-f-2.8l-is-iii-usm-1192085890/","Neuwertig EF 70-200mm f/2.8L IS III USM","2'100.00","2021-12-01"
"/fr/a/canon-zoom-ef-70-200mm-l-2.8f-is-usm-1191489172/","Canon Zoom EF 70-200mm L 2.8f IS USM","1'200.00","2021-12-01"
"/fr/a/canon-ef-zoom-objektiv-75-300mm-f-4-5.6-1191809692/","Canon EF Zoom-Objektiv 75-300mm, f/4-5.6","199.00","2021-12-01"
"/fr/a/canon-ef-200mm-f-2.8l-ii-usm-1191949794/","Canon EF 200mm f/2.8L II USM","400.00","2021-12-01"
"/fr/a/canon-ef-s-18-55mm-is-1191637558/","Canon EF-S 18-55mm IS","50.00","2021-12-01"
"/fr/a/canon-macro-ef-s-35mm-2.8-mit-ringlicht-1191690200/","Canon Macro EF/s 35mm 2.8 mit Ringlicht","370.00","2021-12-01"
"/fr/a/canon-ef-70-200mm-f-2.8-l-is-usm-1191648986/","Canon EF 70-200mm F/2.8 L IS USM","275.00","2021-12-01"
"/fr/a/canon-ef-s-18-200-3.5-5.6-is-1191708702/","Canon EF-S 18-200 3.5-5.6 IS","160.00","2021-12-01"
"/fr/a/canon-ef-24-105mm-f-4-l-is-usm-1191748334/","Canon EF 24-105mm f/4 L IS USM","450.00","2021-12-01"
"/fr/a/canon-ef-s-24mm-f-2.8-stm-1191734536/","Canon EF-S 24mm f/2.8 STM","95.00","2021-12-01"
"/fr/a/canon-ef-50mm-1-1.8-mk1-1191734388/","Canon ef 50mm 1:1.8 Mk1","80.00","2021-12-01"
"/fr/a/canon-fd-35mm-f2-ef-konventiert-1191817184/","Canon FD 35mm f2 EF konventiert","550.00","2021-12-01"
"/fr/a/canon-zoom-objektiv-ef-70-200mm-1-2.8-l-1191742492/","Canon Zoom Objektiv EF 70-200mm 1:2.8 L","695.00","2021-12-01"
